Dependency=Geometry Building Type RECS	Dependency=Heating Fuel	Dependency=State	Option=Electricity	Option=Fuel Oil	Option=Natural Gas	Option=Other Fuel	Option=Propane	Option=Solar Thermal	Option=Wood	source_count	source_weight	fallback_count	fallback_weight
Multi-Family with 5+ Units	None	OR	0.315233	0	0.654562	0	0.0124536	0.0177517	0	2	14233	71	1.05902e+06
Single-Family Attached	None	OR	0.131286	0.0153736	0.829892	0	0.0234489	0	0	0	0	63	647220
Single-Family Detached	None	OR	0.131286	0.0153736	0.829892	0	0.0234489	0	0	1	6915.99	63	647220
Mobile Home	None	PA	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	PA	0.487544	0.0189856	0.493471	0	0	0	0	0	0	11	96572.5
Multi-Family with 5+ Units	None	PA	0.487544	0.0189856	0.493471	0	0	0	0	0	0	11	96572.5
Single-Family Attached	None	PA	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	1	7902.64	467	2.86683e+06
Single-Family Detached	None	PA	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Mobile Home	None	RI	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	RI	0.487544	0.0189856	0.493471	0	0	0	0	0	0	11	96572.5
Multi-Family with 5+ Units	None	RI	0.487544	0.0189856	0.493471	0	0	0	0	0	0	11	96572.5
Single-Family Attached	None	RI	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Single-Family Detached	None	RI	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	1	1918.47	467	2.86683e+06
Mobile Home	None	SC	0.885407	0	0.0860705	0	0.0146575	0.00825679	0.0056086	0	0	127	1.3544e+06
Multi-Family with 2 - 4 Units	None	SC	0.880424	0.00244294	0.107398	0	0	0	0.00973453	1	5833.85	76	1.10929e+06
Multi-Family with 5+ Units	None	SC	0.880424	0.00244294	0.107398	0	0	0	0.00973453	2	12952.9	76	1.10929e+06
Single-Family Attached	None	SC	0.885407	0	0.0860705	0	0.0146575	0.00825679	0.0056086	3	13463.3	127	1.3544e+06
Single-Family Detached	None	SC	0.885407	0	0.0860705	0	0.0146575	0.00825679	0.0056086	1	5509.66	127	1.3544e+06
Mobile Home	None	SD	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	SD	0.61174	0.00750647	0.349133	0.00695157	0.00996964	0.0110052	0.00369378	0	0	284	2.9234e+06
Multi-Family with 5+ Units	None	SD	0.61174	0.00750647	0.349133	0.00695157	0.00996964	0.0110052	0.00369378	2	6969.3	284	2.9234e+06
Single-Family Attached	None	SD	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Single-Family Detached	None	SD	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Mobile Home	None	TN	0.820862	0	0.151432	0	0.0165446	0.00664635	0.00451467	0	0	167	1.68258e+06
Multi-Family with 2 - 4 Units	None	TN	0.84964	0.0136685	0.120469	0	0.00847089	0	0.00775168	0	0	102	1.39304e+06
Multi-Family with 5+ Units	None	TN	0.84964	0.0136685	0.120469	0	0.00847089	0	0.00775168	1	6060.1	102	1.39304e+06
Single-Family Attached	None	TN	0.820862	0	0.151432	0	0.0165446	0.00664635	0.00451467	0	0	167	1.68258e+06
Single-Family Detached	None	TN	0.820862	0	0.151432	0	0.0165446	0.00664635	0.00451467	2	8659.93	167	1.68258e+06
Mobile Home	None	TX	0.543289	0	0.456711	0	0	0	0	3	34204	25	250758
Multi-Family with 2 - 4 Units	None	TX	0.768728	0.0869918	0.14428	0	0	0	0	6	66841.4	14	187728
Multi-Family with 5+ Units	None	TX	0.768728	0.0869918	0.14428	0	0	0	0	8	120886	14	187728
Single-Family Attached	None	TX	0.515375	0	0.484625	0	0	0	0	3	14097.3	22	216554
Single-Family Detached	None	TX	0.504499	0	0.495501	0	0	0	0	19	202457	19	202457
Mobile Home	None	UT	0.328719	0.00964258	0.560247	0	0.0409859	0.0604058	0	0	0	289	1.10169e+06
Multi-Family with 2 - 4 Units	None	UT	0.393584	0.000781981	0.554603	0.0148492	0.0126738	0.0235082	0	0	0	163	1.36857e+06
Multi-Family with 5+ Units	None	UT	0.393584	0.000781981	0.554603	0.0148492	0.0126738	0.0235082	0	0	0	163	1.36857e+06
Single-Family Attached	None	UT	0.328719	0.00964258	0.560247	0	0.0409859	0.0604058	0	0	0	289	1.10169e+06
Single-Family Detached	None	UT	0.328719	0.00964258	0.560247	0	0.0409859	0.0604058	0	0	0	289	1.10169e+06
Mobile Home	None	VA	0.885407	0	0.0860705	0	0.0146575	0.00825679	0.0056086	0	0	127	1.3544e+06
Multi-Family with 2 - 4 Units	None	VA	0.880424	0.00244294	0.107398	0	0	0	0.00973453	0	0	76	1.10929e+06
Multi-Family with 5+ Units	None	VA	0.880424	0.00244294	0.107398	0	0	0	0.00973453	0	0	76	1.10929e+06
Single-Family Attached	None	VA	0.885407	0	0.0860705	0	0.0146575	0.00825679	0.0056086	0	0	127	1.3544e+06
Single-Family Detached	None	VA	0.885407	0	0.0860705	0	0.0146575	0.00825679	0.0056086	1	7525.48	127	1.3544e+06
Mobile Home	None	VT	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	VT	0.487544	0.0189856	0.493471	0	0	0	0	1	1833.49	11	96572.5
Multi-Family with 5+ Units	None	VT	0.487544	0.0189856	0.493471	0	0	0	0	0	0	11	96572.5
Single-Family Attached	None	VT	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Single-Family Detached	None	VT	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Mobile Home	None	WA	0.131286	0.0153736	0.829892	0	0.0234489	0	0	0	0	63	647220
Multi-Family with 2 - 4 Units	None	WA	0.315233	0	0.654562	0	0.0124536	0.0177517	0	0	0	71	1.05902e+06
Multi-Family with 5+ Units	None	WA	0.315233	0	0.654562	0	0.0124536	0.0177517	0	5	45074.6	71	1.05902e+06
Single-Family Attached	None	WA	0.131286	0.0153736	0.829892	0	0.0234489	0	0	1	5027.42	63	647220
Single-Family Detached	None	WA	0.131286	0.0153736	0.829892	0	0.0234489	0	0	3	19877.3	63	647220
Mobile Home	None	WI	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Multi-Family with 2 - 4 Units	None	WI	0.61174	0.00750647	0.349133	0.00695157	0.00996964	0.0110052	0.00369378	0	0	284	2.9234e+06
Multi-Family with 5+ Units	None	WI	0.61174	0.00750647	0.349133	0.00695157	0.00996964	0.0110052	0.00369378	1	8950.2	284	2.9234e+06
Single-Family Attached	None	WI	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	0	0	467	2.86683e+06
Single-Family Detached	None	WI	0.625099	0.00512893	0.310747	0	0.0254606	0.0271141	0.00645002	1	6809.47	467	2.86683e+06
Mobile Home	None	WV	0.885407	0	0.0860705	0	0.0146575	0.00825679	0.0056086	0	0	127	1.3544e+06
Multi-Family with 2 - 4 Units	None	WV	0.880424	0.00244294	0.107398	0	0	0	0.00973453	0	0	76	1.10929e+06
Multi-Family with 5+ Units	None	WV	0.880424	0.00244294	0.107398	0	0	0	0.00973453	0	0	76	1.10929e+06
Single-Family Attached	None	WV	0.885407	0	0.0860705	0	0.0146575	0.00825679	0.0056086	0	0	127	1.3544e+06
Single-Family Detached	None	WV	0.885407	0	0.0860705	0	0.0146575	0.00825679	0.0056086	1	3936.14	127	1.3544e+06
Mobile Home	None	WY	0.328719	0.00964258	0.560247	0	0.0409859	0.0604058	0	0	0	289	1.10169e+06
Multi-Family with 2 - 4 Units	None	WY	0.393584	0.000781981	0.554603	0.0148492	0.0126738	0.0235082	0	0	0	163	1.36857e+06
Multi-Family with 5+ Units	None	WY	0.393584	0.000781981	0.554603	0.0148492	0.0126738	0.0235082	0	0	0	163	1.36857e+06
Single-Family Attached	None	WY	0.328719	0.00964258	0.560247	0	0.0409859	0.0604058	0	0	0	289	1.10169e+06
Single-Family Detached	None	WY	0.328719	0.00964258	0.560247	0	0.0409859	0.0604058	0	0	0	289	1.10169e+06
Mobile Home	Other Fuel	AK	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	AK	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	AK	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	AK	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	AK	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	AL	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	AL	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	AL	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	AL	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	AL	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	AR	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	AR	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	AR	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	AR	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	AR	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	AZ	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	AZ	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	AZ	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	AZ	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	AZ	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	CA	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	CA	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	CA	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	CA	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	CA	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	CO	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	CO	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	CO	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	CO	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	CO	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	CT	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	CT	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	CT	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	CT	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	CT	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	DC	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	DC	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	DC	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	DC	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	DC	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	DE	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	DE	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	DE	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	DE	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	DE	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	FL	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	FL	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	FL	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	FL	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	FL	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	GA	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	GA	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	GA	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	GA	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	GA	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	HI	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	HI	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	HI	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	HI	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	HI	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	IA	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	IA	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	IA	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	IA	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	IA	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	ID	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	ID	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	ID	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	ID	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	ID	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	IL	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	IL	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	IL	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	IL	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	IL	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	IN	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	IN	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	IN	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	IN	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	IN	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	KS	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	KS	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	KS	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	KS	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	KS	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	KY	1	0	0	0	0	0	0	1	4706.32	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	KY	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	KY	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	KY	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	KY	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	LA	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	LA	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	LA	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	LA	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	LA	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	MA	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	MA	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	MA	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	MA	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	MA	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	MD	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	MD	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	MD	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	MD	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	MD	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	ME	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	ME	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	ME	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	ME	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	ME	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	MI	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	MI	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	MI	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	MI	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	MI	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	MN	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	MN	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	MN	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	MN	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	MN	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	MO	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	MO	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	MO	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	MO	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	MO	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	MS	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	MS	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	MS	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	MS	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	MS	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	MT	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	MT	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	MT	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	MT	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	MT	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	NC	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	NC	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	NC	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	NC	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	NC	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	ND	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	ND	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	ND	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	ND	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	ND	1	0	0	0	0	0	0	1	944.269	7	44591
Mobile Home	Other Fuel	NE	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	NE	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	NE	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	NE	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	NE	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	NH	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	NH	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	NH	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	NH	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	NH	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	NJ	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	NJ	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	NJ	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	NJ	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	NJ	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	NM	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	NM	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	NM	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	NM	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	NM	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	NV	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	NV	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	NV	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	NV	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	NV	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	NY	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	NY	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	NY	1	0	0	0	0	0	0	1	9919.43	1	9919.43
Single-Family Attached	Other Fuel	NY	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	NY	1	0	0	0	0	0	0	2	16031.9	7	44591
Mobile Home	Other Fuel	OH	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	OH	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	OH	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	OH	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	OH	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	OK	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	OK	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	OK	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	OK	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	OK	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	OR	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	OR	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	OR	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	OR	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	OR	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	PA	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	PA	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	PA	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	PA	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	PA	1	0	0	0	0	0	0	3	22908.5	7	44591
Mobile Home	Other Fuel	RI	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	RI	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	RI	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	RI	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	RI	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	SC	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	SC	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	SC	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	SC	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	SC	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	SD	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	SD	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	SD	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	SD	1	0	0	0	0	0	0	0	0	7	44591
Single-Family Detached	Other Fuel	SD	1	0	0	0	0	0	0	0	0	7	44591
Mobile Home	Other Fuel	TN	1	0	0	0	0	0	0	0	0	7	44591
Multi-Family with 2 - 4 Units	Other Fuel	TN	1	0	0	0	0	0	0	0	0	1	9919.43
Multi-Family with 5+ Units	Other Fuel	TN	1	0	0	0	0	0	0	0	0	1	9919.43
Single-Family Attached	Other Fuel	TN	1	0	0	0	0	0	0	0	0	7	44591
